Turkish,Word
engel,BARRIERS
darboğaz,BOTTLENECK
darboğaz,BOTTLENECKS
boykot,BOYCOTT
boykot,BOYCOTTED
boykot,BOYCOTTING
boykot,BOYCOTTS
ihlal,BREACH
ihlal,BREACHED
ihlal,BREACHES
ihlal,BREACHING
arıza,BREAK
bozul,BREAKAGE
arıza,BREAKAGES
bozuk,BREAKDOWN
arıza,BREAKDOWNS
arıza,BREAKING
bozma,BREAKS
rüşvet,BRIBE
rüşvet,BRIBED
rüşvet,BRIBERIES
irtikap,BRIBERY
rüşvet,BRIBES
yolsuz,BRIBING
,BRIDGE
bozuk,BROKEN
yük,BURDEN
yük,BURDENED
zahmet,BURDENING
zahmet,BURDENS
külfet,BURDENSOME
yakılan,BURNED
felaket,CALAMITIES
felaket,CALAMITOUS
musibet,CALAMITY
iptal,CANCEL
iptal,CANCELED
iptal,CANCELING
iptal,CANCELLATION
iptal,CANCELLATIONS
iptal,CANCELLED
iptal,CANCELLING
iptal,CANCELS
dikkatsiz,CARELESS
dikkatsiz,CARELESSLY
dikkatsiz,CARELESSNESS
afet,CATASTROPHE
afet,CATASTROPHES
afet,CATASTROPHIC
afet,CATASTROPHICALLY
uyarı,CAUTION
uyarı,CAUTIONARY
uyarı,CAUTIONED
uyarı,CAUTIONING
uyarı,CAUTIONS
durdur,CEASE
durdur,CEASED
durdur,CEASES
durdur,CEASING
kına,CENSURE
kına,CENSURED
kına,CENSURES
kına,CENSURING
zorluk,CHALLENGE
zorluk,CHALLENGED
zorluk,CHALLENGES
zorluk,CHALLENGING
zarar,CHARGEOFFS
dolaşma,CIRCUMVENT
dolaşma,CIRCUMVENTED
dolaşma,CIRCUMVENTING
dolaşma,CIRCUMVENTION
dolaşma,CIRCUMVENTIONS
dolaşma,CIRCUMVENTS
talep,CLAIMING
alacak,CLAIMS
,CLAWBACK
kapalı,CLOSED
tasfiye,CLOSEOUT
tasfiye,CLOSEOUTS
kapanış,CLOSING
kapan,CLOSINGS
kapama,CLOSURE
bitir,CLOSURES
zorlama,COERCE
zorla,COERCED
icbar,COERCES
mecbur,COERCING
zorlama,COERCION
zorlayıcı,COERCIVE
çök,COLLAPSE
çökmüş,COLLAPSED
çök,COLLAPSES
çök,COLLAPSING
çarpış,COLLISION
çatış,COLLISIONS
entrika,COLLUDE
entrika,COLLUDED
entrika,COLLUDES
entrika,COLLUDING
gizli,COLLUSION
,COLLUSIONS
,COLLUSIVE
şikayet,COMPLAIN
şikayet,COMPLAINED
şikayet,COMPLAINING
şikayet,COMPLAINS
itiraz,COMPLAINT
itiraz,COMPLAINTS
karmaşık,COMPLICATE
karmaşık,COMPLICATED
karmaşık,COMPLICATES
komplikasyon,COMPLICATING
komplikasyon,COMPLICATION
komplikasyon,COMPLICATIONS
zorla,COMPULSION
gizli,CONCEALED
gizli,CONCEALING
teslim,CONCEDE
ikrar,CONCEDED
itiraf,CONCEDES
kabul,CONCEDING
endişe,CONCERN
endişe,CONCERNED
endişe,CONCERNS
uzlaş,CONCILIATING
uzlaştır,CONCILIATION
uzlaştır,CONCILIATIONS
kına,CONDEMN
kınama,CONDEMNATION
kınama,CONDEMNATIONS
kınama,CONDEMNED
ayıp,CONDEMNING
ayıp,CONDEMNS
affet,CONDONE
af,CONDONED
itiraf,CONFESS
itiraf,CONFESSED
itiraf,CONFESSES
itiraf,CONFESSING
itiraf,CONFESSION
haps,CONFINE
hapis,CONFINED
hapis,CONFINEMENT
hapis,CONFINEMENTS
sınır,CONFINES
tahdit,CONFINING
toplat,CONFISCATE
el,CONFISCATED
müsadere,CONFISCATES
müsadere,CONFISCATING
müsadere,CONFISCATION
müsadere,CONFISCATIONS
çatış,CONFLICT
çatış,CONFLICTED
çatış,CONFLICTING
çatış,CONFLICTS
hasmane,CONFRONT
karşılaştır,CONFRONTATION
çatışmacı,CONFRONTATIONAL
yüzleştir,CONFRONTATIONS
,CONFRONTED
,CONFRONTING
,CONFRONTS
belirsiz,CONFUSE
müphem,CONFUSED
karıştır,CONFUSES
muğlak,CONFUSING
karıştır,CONFUSINGLY
yanıl,CONFUSION
komplo,CONSPIRACIES
komplo,CONSPIRACY
komplo,CONSPIRATOR
komplo,CONSPIRATORIAL
komplo,CONSPIRATORS
komplo,CONSPIRE
komplo,CONSPIRED
komplo,CONSPIRES
komplo,CONSPIRING
itaatsiz,CONTEMPT
iddia,CONTEND
iddia,CONTENDED
iddia,CONTENDING
iddia,CONTENDS
çekiş,CONTENTION
münakaşa,CONTENTIONS
,CONTENTIOUS
,CONTENTIOUSLY
tartış,CONTESTED
itiraz,CONTESTING
daral,CONTRACTION
küçül,CONTRACTIONS
çelişki,CONTRADICT
çelişki,CONTRADICTED
çelişki,CONTRADICTING
çelişki,CONTRADICTION
çelişki,CONTRADICTIONS
çelişki,CONTRADICTORY
çelişki,CONTRADICTS
aks,CONTRARY
ihtilaf,CONTROVERSIAL
ihtilaf,CONTROVERSIES
ihtilaf,CONTROVERSY
hüküm,CONVICT
mahkum,CONVICTED
mahkum,CONVICTING
mahkum,CONVICTION
mahkumiyet,CONVICTIONS
düzelt,CORRECTED
düzelt,CORRECTING
düzelt,CORRECTION
düzelt,CORRECTIONS
,CORRECTS
yolsuz,CORRUPT
yolsuz,CORRUPTED
yolsuz,CORRUPTING
yolsuz,CORRUPTION
yolsuz,CORRUPTIONS
yolsuz,CORRUPTLY
yolsuz,CORRUPTNESS
pahalı,COSTLY
karşı,COUNTERCLAIM
,COUNTERCLAIMED
,COUNTERCLAIMING
,COUNTERCLAIMS
sahte,COUNTERFEIT
sahte,COUNTERFEITED
kalpazan,COUNTERFEITER
kalpazan,COUNTERFEITERS
sahtecilik,COUNTERFEITING
sahte,COUNTERFEITS
önlem,COUNTERMEASURE
önlem,COUNTERMEASURES
suç,CRIME
suç,CRIMES
suç,CRIMINAL
suç,CRIMINALLY
suç,CRIMINALS
kriz,CRISES
kriz,CRISIS
kritik,CRITICAL
kritik,CRITICALLY
eleştiri,CRITICISM
eleştiri,CRITICISMS
eleştiri,CRITICIZE
eleştiri,CRITICIZED
eleştiri,CRITICIZES
eleştiri,CRITICIZING
kesin,CRUCIAL
kati,CRUCIALLY
kusur,CULPABILITY
kusur,CULPABLE
kusur,CULPABLY
zahmet,CUMBERSOME
kısma,CURTAIL
kısma,CURTAILED
kısma,CURTAILING
kısma,CURTAILMENT
kısma,CURTAILMENTS
kısma,CURTAILS
kes,CUT
azalt,CUTBACK
azalt,CUTBACKS
saldırı,CYBERATTACK
saldırı,CYBERATTACKS
saldırı,CYBERBULLYING
suç,CYBERCRIME
suç,CYBERCRIMES
suçlu,CYBERCRIMINAL
suçlu,CYBERCRIMINALS
hasar,DAMAGE
hasarlı,DAMAGED
zarar,DAMAGES
zararlı,DAMAGING
hafiflet,DAMPEN
hafiflet,DAMPENED
tehlike,DANGER
tehlike,DANGEROUS
tehlike,DANGEROUSLY
tehlike,DANGERS
çıkmaz,DEADLOCK
çıkmaz,DEADLOCKED
çıkmaz,DEADLOCKING
çıkmaz,DEADLOCKS
engel,DEADWEIGHT
engel,DEADWEIGHTS
mani,DEBARMENT
önleme,DEBARMENTS
men,DEBARRED
merhum,DECEASED
aldat,DECEIT
dolandır,DECEITFUL
aldatıcı,DECEITFULNESS
aldat,DECEIVE
dolandır,DECEIVED
dolandır,DECEIVES
dolandır,DECEIVING
,DECEPTION
,DECEPTIONS
,DECEPTIVE
,DECEPTIVELY
ret,DECLINE
red,DECLINED
azal,DECLINES
düş,DECLINING
tahrif,DEFACE
tahrif,DEFACED
tahrif,DEFACEMENT
hakaret,DEFAMATION
hakaret,DEFAMATIONS
hakaret,DEFAMATORY
iftira,DEFAME
iftirada,DEFAMED
karala,DEFAMES
tahkir,DEFAMING
iflas,DEFAULT
iflas,DEFAULTED
iflas,DEFAULTING
iflas,DEFAULTS
yenil,DEFEAT
mağlup,DEFEATED
yenil,DEFEATING
yenil,DEFEATS
hata,DEFECT
arıza,DEFECTIVE
kusur,DEFECTS
savun,DEFEND
müdafi,DEFENDANT
davalı,DEFENDANTS
savun,DEFENDED
müdafaa,DEFENDING
,DEFENDS
defansif,DEFENSIVE
ertele,DEFER
eksik,DEFICIENCIES
eksik,DEFICIENCY
eksik,DEFICIENT
noksan,DEFICITS
dolandır,DEFRAUD
dolandır,DEFRAUDED
dolandır,DEFRAUDING
dolandır,DEFRAUDS
geçersiz,DEFUNCT
bozul,DEGRADATION
bozul,DEGRADATIONS
bozul,DEGRADE
bozuk,DEGRADED
,DEGRADES
,DEGRADING
gecik,DELAY
gecik,DELAYED
gecik,DELAYING
gecik,DELAYS
zarar,DELETERIOUS
kasıt,DELIBERATE
kasıt,DELIBERATED
kasten,DELIBERATELY
temerrüt,DELINQUENCIES
temerrüd,DELINQUENCY
batık,DELINQUENT
batık,DELINQUENTLY
batık,DELINQUENTS
deliste,DELIST
deliste,DELISTED
deliste,DELISTING
deliste,DELISTS
intikal,DEMISE
intikal,DEMISED
intikal,DEMISES
intikal,DEMISING
yık,DEMOLISH
yık,DEMOLISHED
yık,DEMOLISHES
yık,DEMOLISHING
yıkım,DEMOLITION
yıkım,DEMOLITIONS
tenzil,DEMOTE
tenzil,DEMOTED
tenzil,DEMOTES
tenzil,DEMOTING
tenzil,DEMOTION
tenzil,DEMOTIONS
inkar,DENIAL
inkar,DENIALS
inkar,DENIED
inkar,DENIES
kötüle,DENIGRATE
kötüle,DENIGRATED
kötüle,DENIGRATES
kötüle,DENIGRATING
kötüle,DENIGRATION
red,DENY
red,DENYING
,DEPLETE
,DEPLETED
,DEPLETES
,DEPLETING
,DEPLETION
,DEPLETIONS
muhalefet,DEPRECATION
baskı,DEPRESS
baskı,DEPRESSED
baskı,DEPRESSES
baskı,DEPRESSING
yoksun,DEPRIVATION
yoksun,DEPRIVE
yoksun,DEPRIVED
mahrum,DEPRIVES
mahrum,DEPRIVING
sahipsiz,DERELICT
sahipsizlik,DERELICTION
küçültücü,DEROGATORY
istikrarsız,DESTABILIZATION
istikrarsız,DESTABILIZE
istikrarsız,DESTABILIZED
istikrarsız,DESTABILIZING
tahrip,DESTROY
tahrip,DESTROYED
tahrip,DESTROYING
tahrip,DESTROYS
imha,DESTRUCTION
yıkıcı,DESTRUCTIVE
alıkoy,DETAIN
alıkoy,DETAINED
gözaltı,DETENTION
gözaltı,DETENTIONS
caydır,DETER
gerile,DETERIORATE
gerile,DETERIORATED
gerile,DETERIORATES
gerile,DETERIORATING
gerile,DETERIORATION
gerile,DETERIORATIONS
caydır,DETERRED
caydır,DETERRENCE
caydır,DETERRENCES
caydır,DETERRENT
caydır,DETERRENTS
caydır,DETERRING
caydır,DETERS
kötüle,DETRACT
kötüle,DETRACTED
kötüle,DETRACTING
ziyan,DETRIMENT
ziyan,DETRIMENTAL
ziyan,DETRIMENTALLY
ziyan,DETRIMENTS
devalüe,DEVALUE
devalüe,DEVALUED
devalüe,DEVALUES
devalüe,DEVALUING
mahvet,DEVASTATE
mahvet,DEVASTATED
mahvet,DEVASTATING
mahvet,DEVASTATION
sapma,DEVIATE
sapma,DEVIATED
sapma,DEVIATES
sapma,DEVIATING
sapma,DEVIATION
sapma,DEVIATIONS
devret,DEVOLVE
devret,DEVOLVED
devret,DEVOLVES
devret,DEVOLVING
zor,DIFFICULT
güçlük,DIFFICULTIES
güçlük,DIFFICULTLY
zorluk,DIFFICULTY
azalt,DIMINISH
azalt,DIMINISHED
azalt,DIMINISHES
azalan,DIMINISHING
azalma,DIMINUTION
dezavantaj,DISADVANTAGE
dezavantaj,DISADVANTAGED
dezavantaj,DISADVANTAGEOUS
dezavantaj,DISADVANTAGES
ayrılma,DISAFFILIATION
ihtilaf,DISAGREE
zıt,DISAGREEABLE
,DISAGREED
,DISAGREEING
anlaşmazlık,DISAGREEMENT
anlaşmazlık,DISAGREEMENTS
anlaşmazlık,DISAGREES
mani,DISALLOW
men,DISALLOWANCE
men,DISALLOWANCES
men,DISALLOWED
men,DISALLOWING
men,DISALLOWS
kaybol,DISAPPEAR
kaybol,DISAPPEARANCE
kaybol,DISAPPEARANCES
kaybol,DISAPPEARED
kaybol,DISAPPEARING
kaybol,DISAPPEARS
kırık,DISAPPOINT
kırık,DISAPPOINTED
kırık,DISAPPOINTING
kırık,DISAPPOINTINGLY
kırık,DISAPPOINTMENT
kırık,DISAPPOINTMENTS
kırık,DISAPPOINTS
onaylamama,DISAPPROVAL
onaylamama,DISAPPROVALS
onaylamama,DISAPPROVE
onaylamama,DISAPPROVED
onaylamama,DISAPPROVES
onaylamama,DISAPPROVING
disassociates,DISASSOCIATES
ayrılma,DISASSOCIATING
ayrılma,DISASSOCIATION
ayrılma,DISASSOCIATIONS
afet,DISASTER
afet,DISASTERS
feci,DISASTROUS
feci,DISASTROUSLY
tanımama,DISAVOW
tanımama,DISAVOWAL
tanımama,DISAVOWED
tanımama,DISAVOWING
tanımama,DISAVOWS
disiplin,DISCIPLINARY
feragat,DISCLAIM
feragat,DISCLAIMED
feragatname,DISCLAIMER
feragatname,DISCLAIMERS
feragat,DISCLAIMING
feragat,DISCLAIMS
durdur,DISCONTINUANCE
durdur,DISCONTINUANCES
durdur,DISCONTINUATION
durdur,DISCONTINUATIONS
durdur,DISCONTINUE
durdur,DISCONTINUED
durdur,DISCONTINUES
durdur,DISCONTINUING
vazgeçir,DISCOURAGE
vazgeçir,DISCOURAGED
vazgeçir,DISCOURAGES
vazgeçir,DISCOURAGING
kötüle,DISCREDIT
kötüle,DISCREDITED
kötüle,DISCREDITING
kötüle,DISCREDITS
tutarsız,DISCREPANCIES
tutarsız,DISCREPANCY
itibarsız,DISFAVOR
itibarsız,DISFAVORED
itibarsız,DISFAVORING
itibarsız,DISFAVORS
iade,DISGORGE
iade,DISGORGED
iade,DISGORGEMENT
iade,DISGORGEMENTS
iade,DISGORGES
iade,DISGORGING
rezalet,DISGRACE
utanç,DISGRACEFUL
utanç,DISGRACEFULLY
sahtekar,DISHONEST
sahtekar,DISHONESTLY
sahtekar,DISHONESTY
onursuz,DISHONOR
onursuz,DISHONORABLE
onursuz,DISHONORABLY
onursuz,DISHONORED
onursuz,DISHONORING
onursuz,DISHONORS
,DISINCENTIVES
ilgisiz,DISINTERESTED
ilgisiz,DISINTERESTEDLY
ilgisiz,DISINTERESTEDNESS
sadakatsiz,DISLOYAL
sadakatsiz,DISLOYALLY
sadakatsiz,DISLOYALTY
feci,DISMAL
feci,DISMALLY
azl,DISMISS
azl,DISMISSAL
azl,DISMISSALS
azl,DISMISSED
azl,DISMISSES
azl,DISMISSING
düzensiz,DISORDERLY
kötüle,DISPARAGE
kötüle,DISPARAGED
kötüle,DISPARAGEMENT
kötüle,DISPARAGEMENTS
kötüle,DISPARAGES
kötüle,DISPARAGING
kötüle,DISPARAGINGLY
eşitsizlik,DISPARITIES
eşitsizlik,DISPARITY
nakl,DISPLACE
nakl,DISPLACED
nakil,DISPLACEMENT
nakil,DISPLACEMENTS
nakl,DISPLACES
nakl,DISPLACING
kurtul,DISPOSE
zapt,DISPOSSESS
zapt,DISPOSSESSED
zapt,DISPOSSESSES
zapt,DISPOSSESSING
oransız,DISPROPORTION
orantısız,DISPROPORTIONAL
orantısız,DISPROPORTIONATE
orantısız,DISPROPORTIONATELY
ihtilaf,DISPUTE
tartışmalı,DISPUTED
anlaşmazlık,DISPUTES
ihtilaf,DISPUTING
diskalifiye,DISQUALIFICATION
diskalifiye,DISQUALIFICATIONS
diskalifiye,DISQUALIFIED
diskalifiye,DISQUALIFIES
diskalifiye,DISQUALIFY
diskalifiye,DISQUALIFYING
gözardı,DISREGARD
gözardı,DISREGARDED
gözardı,DISREGARDING
gözardı,DISREGARDS
itibarsız,DISREPUTABLE
itibarsız,DISREPUTE
bozma,DISRUPT
bozma,DISRUPTED
bozarak,DISRUPTING
kesinti,DISRUPTION
kesinti,DISRUPTIONS
yıkıcı,DISRUPTIVE
bozma,DISRUPTS
memnuniyetsizlik,DISSATISFACTION
hoşnutsuz,DISSATISFIED
muhalefet,DISSENT
muhalif,DISSENTED
muhalif,DISSENTER
muhalif,DISSENTERS
muhalif,DISSENTING
muhalif,DISSENTS
uyuşmaz,DISSIDENT
uyuşmaz,DISSIDENTS
fesih,DISSOLUTION
fesih,DISSOLUTIONS
çarpıt,DISTORT
çarpıt,DISTORTED
çarpıt,DISTORTING
çarpıt,DISTORTION
çarpıt,DISTORTIONS
çarpıt,DISTORTS
,DISTRACT
,DISTRACTED
,DISTRACTING
,DISTRACTION
,DISTRACTIONS
,DISTRACTS
sıkıntı,DISTRESS
sıkıntı,DISTRESSED
rahatsız,DISTURB
rahatsız,DISTURBANCE
rahatsız,DISTURBANCES
rahatsız,DISTURBED
rahatsız,DISTURBING
rahatsız,DISTURBS
diversiyon,DIVERSION
saptır,DIVERT
saptır,DIVERTED
saptır,DIVERTING
saptır,DIVERTS
tasfiye,DIVEST
tasfiye,DIVESTED
tasfiye,DIVESTING
tasfiye,DIVESTITURE
tasfiye,DIVESTITURES
tasfiye,DIVESTMENT
tasfiye,DIVESTMENTS
tasfiye,DIVESTS
boşan,DIVORCE
boşan,DIVORCED
ifşa,DIVULGE
ifşa,DIVULGED
ifşa,DIVULGES
ifşa,DIVULGING
kuşku,DOUBT
şüphe,DOUBTED
şüphe,DOUBTFUL
şüphe,DOUBTS
döndür,DOWNGRADE
döndür,DOWNGRADED
döndür,DOWNGRADES
döndür,DOWNGRADING
küçült,DOWNSIZE
küçült,DOWNSIZED
küçült,DOWNSIZES
küçült,DOWNSIZING
küçült,DOWNSIZINGS
durma,DOWNTIME
durma,DOWNTIMES
kriz,DOWNTURN
bunalım,DOWNTURNS
aşağı,DOWNWARD
aşağı,DOWNWARDS
sürükle,DRAG
şiddetli,DRASTIC
şiddetli,DRASTICALLY
kusur,DRAWBACK
kusur,DRAWBACKS
düşme,DROPPED
kuraklık,DROUGHT
kuraklık,DROUGHTS
zorlama,DURESS
işlemez,DYSFUNCTION
işlemez,DYSFUNCTIONAL
işlemez,DYSFUNCTIONS
hafifletme,EASING
fena,EGREGIOUS
fena,EGREGIOUSLY
ambargo,EMBARGO
ambargo,EMBARGOED
ambargo,EMBARGOES
ambargo,EMBARGOING
utandır,EMBARRASS
utandır,EMBARRASSED
utandır,EMBARRASSES
utandır,EMBARRASSING
utandır,EMBARRASSMENT
utandır,EMBARRASSMENTS
zimmete,EMBEZZLE
zimmetine,EMBEZZLED
zimmete,EMBEZZLEMENT
zimmete,EMBEZZLEMENTS
zimmete,EMBEZZLER
zimmete,EMBEZZLES
zimmete,EMBEZZLING
tecavüz,ENCROACH
tecavüz,ENCROACHED
tecavüz,ENCROACHES
tecavüz,ENCROACHING
tecavüz,ENCROACHMENT
tecavüz,ENCROACHMENTS
engel,ENCUMBER
ipotek,ENCUMBERED
engel,ENCUMBERING
engel,ENCUMBERS
engel,ENCUMBRANCE
engel,ENCUMBRANCES
tehlike,ENDANGER
tehlike,ENDANGERED
tehlike,ENDANGERING
tehlike,ENDANGERMENT
tehlike,ENDANGERS
,ENJOIN
,ENJOINED
,ENJOINING
,ENJOINS
aşın,ERODE
aşın,ERODED
aşın,ERODES
aşın,ERODING
aşın,EROSION
düzensiz,ERRATIC
düzensiz,ERRATICALLY
yanıl,ERRED
yanıl,ERRING
hatalı,ERRONEOUS
sehven,ERRONEOUSLY
hata,ERROR
hata,ERRORS
hata,ERRS
yükselt,ESCALATE
yükselt,ESCALATED
yükselt,ESCALATES
yükselt,ESCALATING
kaçın,EVADE
kaçın,EVADED
kaçın,EVADES
kaçın,EVADING
kaçın,EVASION
kaçın,EVASIONS
kaçın,EVASIVE
tahliye,EVICT
tahliye,EVICTED
tahliye,EVICTING
tahliye,EVICTION
tahliye,EVICTIONS
tahliye,EVICTS
şiddetlendir,EXACERBATE
şiddetlendir,EXACERBATED
şiddetlendir,EXACERBATES
şiddetlendir,EXACERBATING
şiddetlendir,EXACERBATION
şiddetlendir,EXACERBATIONS
abart,EXAGGERATE
abart,EXAGGERATED
abart,EXAGGERATES
abart,EXAGGERATING
abart,EXAGGERATION
aşırı,EXCESSIVE
aşırı,EXCESSIVELY
aklama,EXCULPATE
aklan,EXCULPATED
aklan,EXCULPATES
aklan,EXCULPATING
aklan,EXCULPATION
aklan,EXCULPATIONS
aklan,EXCULPATORY
beraat,EXONERATE
beraat,EXONERATED
beraat,EXONERATES
beraat,EXONERATING
beraat,EXONERATION
beraat,EXONERATIONS
istismar,EXPLOIT
istismar,EXPLOITATION
istismar,EXPLOITATIONS
istismar,EXPLOITATIVE
istismar,EXPLOITED
istismar,EXPLOITING
istismar,EXPLOITS
maruz,EXPOSE
maruz,EXPOSED
maruz,EXPOSES
maruz,EXPOSING
kamulaş,EXPROPRIATE
kamulaş,EXPROPRIATED
kamulaş,EXPROPRIATES
kamulaş,EXPROPRIATING
kamulaş,EXPROPRIATION
kamulaş,EXPROPRIATIONS
çıkarıl,EXPULSION
çıkarıl,EXPULSIONS
hafifletici,EXTENUATING
başarısız,FAIL
başarısız,FAILED
başarısız,FAILING
başarısız,FAILINGS
başarısız,FAILS
başarısız,FAILURE
başarısız,FAILURES
beklenmedik,FALLOUT
,
sahte,FALSELY
tahrif,FALSIFICATION
tahrif,FALSIFICATIONS
tahrif,FALSIFIED
tahrif,FALSIFIES
tahrif,FALSIFY
tahrif,FALSIFYING
sahtelik,FALSITY
ölüm,FATALITIES
ölüm,FATALITY
ölümcül,FATALLY
hata,FAULT
hata,FAULTED
hata,FAULTS
hata,FAULTY
kork,FEAR
kork,FEARS
cürüm,FELONIES
cürüm,FELONIOUS
suç,FELONY
hayali,FICTITIOUS
ceza,FINED
ceza,FINES
çıkarıl,FIRED
çıkarıl,FIRING
hata,FLAW
hata,FLAWED
kusurlar,FLAWS
yasak,FORBID
yasak,FORBIDDEN
yasak,FORBIDDING
yasak,FORBIDS
kuvvet,FORCE
kuvvet,FORCED
kuvvet,FORCING
hacz,FORECLOSE
haciz,FORECLOSED
haciz,FORECLOSES
haciz,FORECLOSING
haciz,FORECLOSURE
haciz,FORECLOSURES
vazgeç,FOREGO
vazgeç,FOREGOES
vazgeç,FOREGONE
engel,FORESTALL
engel,FORESTALLED
engel,FORESTALLING
engel,FORESTALLS
ceza,FORFEIT
ceza,FORFEITED
ceza,FORFEITING
ceza,FORFEITS
ceza,FORFEITURE
ceza,FORFEITURES
kalpazan,FORGERS
kalpazan,FORGERY
dolandır,FRAUD
dolandır,FRAUDS
dolandır,FRAUDULENCE
dolandır,FRAUDULENT
dolandır,FRAUDULENTLY
önemsiz,FRIVOLOUS
önemsiz,FRIVOLOUSLY
bozul,FRUSTRATE
bozul,FRUSTRATED
bozul,FRUSTRATES
bozul,FRUSTRATING
bozul,FRUSTRATINGLY
bozul,FRUSTRATION
bozul,FRUSTRATIONS
firari,FUGITIVE
firari,FUGITIVES
ücretsiz,GRATUITOUS
ücretsiz,GRATUITOUSLY
şikayet,GRIEVANCE
şikayet,GRIEVANCES
fena,GROSSLY
asılsız,GROUNDLESS
kabahat,GUILTY
durdur,HALT
durdur,HALTED
engel,HAMPER
engel,HAMPERED
engel,HAMPERING
engel,HAMPERS
taciz,HARASS
taciz,HARASSED
taciz,HARASSING
taciz,HARASSMENT
zorluk,HARDSHIP
zorluk,HARDSHIPS
zarar,HARM
zarar,HARMED
zarar,HARMFUL
zarar,HARMFULLY
zarar,HARMING
zarar,HARMS
sert,HARSH
sert,HARSHER
sert,HARSHEST
sert,HARSHLY
sert,HARSHNESS
tehlike,HAZARD
tehlike,HAZARDOUS
tehlike,HAZARDS
engel,HINDER
engel,HINDERED
engel,HINDERING
engel,HINDERS
engel,HINDRANCE
engel,HINDRANCES
düşman,HOSTILE
husumet,HOSTILITY
acı,HURT
acı,HURTING
boşta,IDLE
boşta,IDLED
boşta,IDLING
gözardı,IGNORE
gözardı,IGNORED
gözardı,IGNORES
gözardı,IGNORING
hasta,ILL
yasadışı,ILLEGAL
yasadışı,ILLEGALITIES
yasadışı,ILLEGALITY
